Protocolo_Entrega,Ticker,Empresa,Categoria,Assunto,Entrega,Pregao_reacao,Parkinson_d1,Volume_d1,Gap_d1,Intradia_d1,Retorno_d1,razaoVol_1 semana (-6 a -2),razaoVolume_1 semana (-6 a -2),razaoVol_2 semanas (-11 a -2),razaoVolume_2 semanas (-11 a -2),razaoVol_1 mês (-23 a -2),razaoVolume_1 mês (-23 a -2),razaoVol_distante (-120 a -21),razaoVolume_distante (-120 a -21),Rotulo,Indice,Confianca,Generico,Atribuivel
019348IPE160920190104372411-47,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Comunicado ao Mercado,Itaúsa e Itaú Unibanco compõem novamente o Dow Jones Sustainability World Index 2019/2020.,2019-09-16 18:43:24,2019-09-17,0.0099070920147836,13879363.0,-0.0094110830077926,0.0130944177370654,0.0036833347292729,0.704128215521037,0.5458121989843243,0.661344985976642,0.560525760785687,0.6718428728988325,0.5930732231286828,0.7322294855742364,0.6120281663120761,Neutral,0.4071989,0.47628966,False,True
019348IPE180920190104372611-16,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Comunicado ao Mercado,Telas Ciclo APIMEC 2019 - ITAÚ UNIBANCO HOLDING S.A. - Porto Alegre/RS,2019-09-18 18:00:36,2019-09-19,0.0223688823472151,20381537.0,0.0081934203255422,-0.0250725394916497,-0.0168791191661074,1.983135441020024,1.0278512460611755,1.588773306441768,0.8049648494054557,1.527100542000422,0.8728705150130116,1.677514075535153,0.909020639447527,Neutral,-0.0009275079,0.6908062,False,True
019348IPE081020190104374611-12,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Comunicado ao Mercado,Negociação das Próprias Ações para Tesouraria - Setembro/2019,2019-10-08 18:03:29,2019-10-09,0.014726169546147,14097805.0,0.0091353651744922,0.0066465178589502,0.0157818830334425,0.9661329729842248,0.6010871001154984,0.9948372796791712,0.6947331334838337,1.0423092070453184,0.6478365592839956,1.0892519708105797,0.6164697898471814,Neutral,-0.0013407394,0.81831634,False,True
019348IPE151020190104375311-35,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Comunicado ao Mercado,CONVITE PARA A TELECONFERÊNCIA SOBRE OS RESULTADOS DO 3º TRIMESTRE DE 2019,2019-10-15 18:00:55,2019-10-16,0.0200758660013434,20011385.0,0.0029055360156347,0.0112506077685804,0.0141561437842152,1.5624133671127418,1.2899345374845663,1.4293119619709471,1.027085095065262,1.4585679850135902,1.0159311190529212,1.50352943344349,0.8697624258629919,Neutral,0.17206316,0.650732,False,True
019348IPE041120190104374707-01,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Comunicado ao Mercado,"Divulgação dos resultados do terceiro trimestre de 2019, de acordo com o padrão contábil internacional - IFRS",2019-11-04 19:26:08,2019-11-05,0.0191129216191223,53231512.0,0.0315776966451986,-0.0144503859583379,0.0171273106868604,1.2275289034890116,2.213941271741415,1.201879497718542,1.969027190594273,1.3316555020162504,2.393426579079626,1.3862284364353126,2.3060032355429816,Positive,0.73620635,0.79207927,False,False
019348IPE041120190104377314-04,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Comunicado ao Mercado,Informações sobre o resultado do 3º trimestre de 2019,2019-11-04 22:37:47,2019-11-05,0.0191129216191223,53231512.0,0.0315776966451986,-0.0144503859583379,0.0171273106868604,1.2275289034890116,2.213941271741415,1.201879497718542,1.969027190594273,1.3316555020162504,2.393426579079626,1.3862284364353126,2.3060032355429816,Positive,0.6127236,0.69384855,False,False
019348IPE041120190104374706-31,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Comunicado ao Mercado,Indicadores financeiros selecionados sobre o resultado trimestral.,2019-11-04 19:13:15,2019-11-05,0.0191129216191223,53231512.0,0.0315776966451986,-0.0144503859583379,0.0171273106868604,1.2275289034890116,2.213941271741415,1.201879497718542,1.969027190594273,1.3316555020162504,2.393426579079626,1.3862284364353126,2.3060032355429816,Neutral,0.045808636,0.77048737,False,False
019348IPE041120190104376706-74,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Comunicado ao Mercado,Programa de Desligamento Voluntário,2019-11-04 19:30:32,2019-11-05,0.0191129216191223,53231512.0,0.0315776966451986,-0.0144503859583379,0.0171273106868604,1.2275289034890116,2.213941271741415,1.201879497718542,1.969027190594273,1.3316555020162504,2.393426579079626,1.3862284364353126,2.3060032355429816,Negative,-0.7870419,0.83121353,False,False
019348IPE041120190104374707-03,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Comunicado ao Mercado,Gerenciamento de Riscos - Pilar 3,2019-11-04 19:26:52,2019-11-05,0.0191129216191223,53231512.0,0.0315776966451986,-0.0144503859583379,0.0171273106868604,1.2275289034890116,2.213941271741415,1.201879497718542,1.969027190594273,1.3316555020162504,2.393426579079626,1.3862284364353126,2.3060032355429816,Neutral,-0.0011939853,0.6321295,False,False
019348IPE311020190204376913-39,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Comunicado ao Mercado,Aquisição da Zup,2019-11-05 18:12:50,2019-11-06,0.0128353844272234,21562009.0,-1.405882676956868e-07,-0.0135686368994162,-0.0135687774876839,0.9164900120032312,0.9995671943537392,0.8440595567514416,0.8192500302174788,0.9091505746915514,0.9968478716121402,0.9336273824990352,0.9381837943770148,Positive,0.7469719,0.8113545,False,True
019348IPE111120190104378011-07,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Comunicado ao Mercado,Negociação das Próprias Ações para Tesouraria - Outubro de 2019,2019-11-11 18:05:22,2019-11-12,0.0144034011126559,22256652.0,-0.0113181393504806,-0.0058471521186591,-0.0171652914691397,1.2187925437330387,0.919175806270244,1.051803623532988,0.9224124681347348,1.039525386273274,0.963133691305186,1.0594686669631972,0.9795219558493272,Neutral,-0.011870623,0.80908924,False,False
019348IPE111120190104378011-81,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Comunicado ao Mercado,Letras Financeiras Subordinadas Nível 2,2019-11-11 19:01:40,2019-11-12,0.0144034011126559,22256652.0,-0.0113181393504806,-0.0058471521186591,-0.0171652914691397,1.2187925437330387,0.919175806270244,1.051803623532988,0.9224124681347348,1.039525386273274,0.963133691305186,1.0594686669631972,0.9795219558493272,Neutral,-0.08878576,0.6872019,False,False
019348IPE131120190104378212-00,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Comunicado ao Mercado,Notas Subordinadas Nível 2,2019-11-13 19:05:55,2019-11-14,0.0106656312687003,15875935.0,0.0014097097369,0.0050576252887769,0.0064673350256769,0.8762881748283595,0.8059307793392696,0.7659204871424713,0.6592375927549243,0.7521491934850861,0.6775623002212214,0.782848896077874,0.694723164880995,Neutral,-0.1589576,0.5739184,False,True
019348IPE211120190204379013-09,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Comunicado ao Mercado,Notícia divulgada na mídia,2019-11-21 21:47:31,2019-11-22,0.0104830072218886,18618589.0,-0.0065019487492047,0.0132415389605854,0.0067395902113807,0.8580773765079727,0.9950071226425536,0.8277103750422297,0.8348044439192122,0.7629613725469891,0.7911871490405524,0.7679810670421876,0.8206290295668963,Neutral,-0.04767269,0.5527532,True,True
019348IPE281120190104379711-46,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Fato Relevante,Juros sobre o capital próprio.,2019-11-28 18:07:59,2019-11-29,0.0092088483689394,18729509.0,0.002021001826786,0.0037426513353856,0.0057636531621716,0.7939308376346617,0.8005875329531834,0.7733357886955946,0.889620883940318,0.7138500398439919,0.8356259580374942,0.6658926718207814,0.8071272373838965,Neutral,-0.09799345,0.6541345,False,True
019348IPE031220190104380211-01,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Comunicado ao Mercado,Itaú Unibanco compõe novamente o Índice de Sustentabilidade Empresarial da B3 (ISE),2019-12-03 18:05:16,2019-12-04,0.0212270396709168,38590319.0,0.002828984879784,0.0325254827935727,0.0353544676733568,1.8576144538112007,1.8045765778670504,1.8370230004124055,1.8581288059937784,1.688145095605906,1.7525742060090412,1.5199864209847318,1.6601569592424494,Neutral,0.20569222,0.6363779,False,True
019348IPE091220190104380811-45,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Comunicado ao Mercado,Negociação das Próprias Ações para Tesouraria - Novembro de 2019,2019-12-09 18:12:53,2019-12-10,0.0163912572579381,24390430.0,-4.409516191819245e-07,-0.0146068543926183,-0.0146072953442375,1.1258571225368592,0.8653933382166346,1.2287551469513651,0.9897367889906884,1.294657766421088,1.0366640461695884,1.1733364841427405,1.0504613895017358,Neutral,-0.009941176,0.80406797,False,True
