Ticker,Data,Categoria,Assunto,sigma_est,CAR[0],ABS[0],"CAR[0,+1]","ABS[0,+1]","CAR[-1,+1]","ABS[-1,+1]","CAR[0,+5]","ABS[0,+5]",CAR_padronizado
RAIL3,2023-04-20,Fato Relevante,Potential Corporate Restructuring North Network,0.018139343212453595,0.015447355265505011,0.015447355265505011,0.02501888436705816,0.01250944218352908,0.03153890240442424,0.010512967468141413,0.016364586094357404,0.007152679475676562,0.9752846388353867
SBSP3,2023-04-20,Comunicado ao Mercado,Apresentação de resultados - 2022,0.015703344313481346,0.005214260715727418,0.005214260715727418,0.011642087715309809,0.005821043857654904,0.04336301742617214,0.014454339142057382,-0.04556013753845736,0.014545555264366704,0.5242322276278951
PETR4,2023-04-20,Comunicado ao Mercado,Petrobras sobre novo Presidente e Diretores da Transpetro,0.023041667081439118,0.0036436818309830764,0.0036436818309830764,0.028782706758489554,0.014391353379244777,0.02168013475271014,0.011961759588089656,0.011850076207345813,0.012165885250117843,0.8832888287942697
RAIL3,2023-04-20,Fato Relevante,Potencial Reorganização Societária Malha Norte,0.018139343212453595,0.015447355265505011,0.015447355265505011,0.02501888436705816,0.01250944218352908,0.03153890240442424,0.010512967468141413,0.016364586094357404,0.007152679475676562,0.9752846388353867
OIBR3,2023-04-21,Fato Relevante,Adiamento das Demonstrações Financeiras de 2022,0.09823963913274143,0.021083954295905274,0.021083954295905274,0.010745266044439029,0.015711321273685762,0.006586481575437772,0.01186047567212426,0.013018969336975057,0.021702533117715972,0.07734200321532023
OIBR3,2023-04-21,Fato Relevante,Assinatura do DIP,0.09823963913274143,0.021083954295905274,0.021083954295905274,0.010745266044439029,0.015711321273685762,0.006586481575437772,0.01186047567212426,0.013018969336975057,0.021702533117715972,0.07734200321532023
PSSA3,2023-04-24,Comunicado ao Mercado,Reporte Setorial Mensal Mar23,0.015276458949404935,0.009270648245743897,0.009270648245743897,0.01274198591368941,0.006370992956844705,-0.002980239307687989,0.009488070378355603,0.023177062367136313,0.009670738977014032,0.5897927441950945
SMTO3,2023-04-24,Comunicado ao Mercado,Renúncia e eleição do Diretor Administrativo,0.028093909276114895,0.034988594366626574,0.034988594366626574,0.07006554226627,0.035032771133135,0.06937443060718093,0.023585551308453023,0.11935827622559557,0.01989304603759926,1.763507512502496
RADL3,2023-04-24,Fato Relevante,Aprovação de aumento de capital com bonificação em ações aos acionistas,0.014944980490394002,0.016187500390899237,0.016187500390899237,0.02045605610594929,0.010228028052974646,0.03506862393109094,0.011689541310363647,0.04983772891122265,0.0147694255920085,0.9678578033706008
CPFE3,2023-04-24,Comunicado ao Mercado,Convite para a Videoconferência de Resultados do 1T23,0.015612151396140389,0.020358164060920565,0.020358164060920565,0.027581287053739675,0.013790643526869838,0.030243584888247438,0.010081194962749146,0.024515949528797352,0.015347421616800186,1.249213808826728
CPFE3,2023-04-24,Comunicado ao Mercado,Reapresentação da Proposta da Administração para as Assembleias,0.015612151396140389,0.020358164060920565,0.020358164060920565,0.027581287053739675,0.013790643526869838,0.030243584888247438,0.010081194962749146,0.024515949528797352,0.015347421616800186,1.249213808826728
LIGT3,2023-04-24,Comunicado ao Mercado,Notícia divulgada na mídia,0.037298516712084895,0.0926700036157915,0.0926700036157915,0.15172156108800278,0.07586078054400139,0.13069711342535978,0.05758200291688193,0.6040105850312849,0.10066843083854748,2.876343462279707
CSAN3,2023-04-24,Comunicado ao Mercado,Arquivamento 20-F na SEC,0.01446913846951267,0.014702430920203072,0.014702430920203072,0.0014591083561286133,0.013972876742138766,-0.003996455538329505,0.01113377245957855,-0.02448015781265876,0.009585881770670808,0.0713066237688199
PETR4,2023-04-24,Comunicado ao Mercado,Petrobras sobre voto múltiplo para a AGO,0.023135186108987408,0.024870897310724414,0.024870897310724414,0.030077436964524897,0.015038718482262448,0.0334686223506898,0.011156207450229933,-0.006019171985317524,0.013671091604286839,0.9192906224369831
SBSP3,2023-04-24,Comunicado ao Mercado,Participação de executivo em evento,0.015847127204828875,0.006595416905500039,0.006595416905500039,0.01596285350322236,0.00798142675161118,0.021385910227477,0.007128636742492333,-0.035243607958021034,0.016058480570723645,0.7122705467888526
BBSE3,2023-04-24,Comunicado ao Mercado,Informativo mensal de desempenho - Março de 2023,0.01359547640271898,-0.0061229235929821865,0.0061229235929821865,0.0015309093963201525,0.006888378291142263,0.0011939072370980323,0.004704586247168882,-0.016386141955811874,0.009994596871200098,0.07962327935074709
HYPE3,2023-04-24,Comunicado ao Mercado,15a Emissão de Debêntures da Companhia,0.014436294645031031,-0.009167848372009565,0.009167848372009565,-0.024521438089287896,0.012260719044643948,-0.014132973878322068,0.011636634100084572,0.019460168706292046,0.01331244818176862,-1.2010890317585574
CVCB3,2023-04-25,Comunicado ao Mercado,Renúncia CFO,0.04860262894576706,-0.02930600697766784,0.02930600697766784,-0.06084767727649831,0.030423838638249157,-0.05789412838266566,0.02126707539011032,0.004250260241177278,0.033183488261298306,-0.8852567475243495
UGPA3,2023-04-25,Comunicado ao Mercado,Arquivamento 20-F 2022,0.016244136865513986,-0.000578607197228664,0.000578607197228664,-0.011896833653611565,0.0059484168268057825,0.007304790674706792,0.01036615266064331,0.007484385374393766,0.010411428094758292,-0.5178688052657509
SANB11,2023-04-25,Comunicado ao Mercado,Apresentação de Resultados 1T23,0.013988593941505721,0.01584156937888885,0.01584156937888885,0.009773175850581996,0.010954981453597853,0.003924897335478288,0.009252747140766472,0.026931759547915917,0.00753279074615001,0.49402241187160184
SBSP3,2023-04-25,Comunicado ao Mercado,Arquivamento do Form 20F 2022 na SEC,0.015866993894046052,0.009269783822336874,0.009269783822336874,-3.6105923965502884e-05,0.009287836784319626,0.006494473114125045,0.008368750868909933,-0.04875602008381082,0.01598374859499704,-0.0016090472995387711
PETR4,2023-04-26,Comunicado ao Mercado,Petrobras sobre acordo com a ANP,0.023109170302175165,-0.0016407596921449216,0.0016407596921449216,-0.031705030018571626,0.015852515009285813,-0.02678942826059253,0.012206877258850238,-0.02543002866603727,0.011037554476069043,-0.9701275048262922
BBAS3,2023-04-26,Fato Relevante,Exercício das funções de Diretor de Relações com Investidores (DRI),0.015962588265580113,-0.001631581449813204,0.001631581449813204,-0.007669006223628996,0.003834503111814498,-0.012075470953058812,0.004025156984352937,-0.020300717468775042,0.005415054784867456,-0.3397197381444095
PETR4,2023-04-26,Fato Relevante,Petrobras sobre ajuste organizacional,0.023109170302175165,-0.0016407596921449216,0.0016407596921449216,-0.031705030018571626,0.015852515009285813,-0.02678942826059253,0.012206877258850238,-0.02543002866603727,0.011037554476069043,-0.9701275048262922
PRIO3,2023-04-26,Comunicado ao Mercado,Retificação de Comunicado de Alteração de Participação Acionária Relevante,0.023554603689734416,-0.02536715968180798,0.02536715968180798,-0.02727218386702506,0.01363609193351253,-0.031570675156426926,0.010523558385475642,-0.04948686299853744,0.020290411931721722,-0.8187081559153677
PETR4,2023-04-26,Fato Relevante,Petrobras sobre Diretoria de Transição Energética e Sustentabilidade,0.023109170302175165,-0.0016407596921449216,0.0016407596921449216,-0.031705030018571626,0.015852515009285813,-0.02678942826059253,0.012206877258850238,-0.02543002866603727,0.011037554476069043,-0.9701275048262922
B3SA3,2023-04-26,Comunicado ao Mercado,Cronograma de divulgação dos resultados do primeiro trimestre de 2023,0.022247979992813142,-0.03276080430873403,0.03276080430873403,-0.02194449939774501,0.021788554609861524,-0.0065751454961726005,0.019648821040431818,0.021726925341424688,0.016653231083390577,-0.6974612678949801
BBSE3,2023-04-26,Comunicado ao Mercado,Período de silêncio para divulgação do 1T23,0.01347234461557408,0.0033104407500883348,0.0033104407500883348,-0.014695839166276597,0.010658360333226632,-0.007279441588163337,0.009577706081522176,-0.057345060246994414,0.013787870748677161,-0.7713228711273015
PETR4,2023-04-26,Fato Relevante,Petrobras sobre Diretoria de Governança e Conformidade,0.023109170302175165,-0.0016407596921449216,0.0016407596921449216,-0.031705030018571626,0.015852515009285813,-0.02678942826059253,0.012206877258850238,-0.02543002866603727,0.011037554476069043,-0.9701275048262922
PETR4,2023-04-27,Fato Relevante,Petrobras sobre pagamento de dividendos,0.02064143446345256,-0.031565803644224705,0.031565803644224705,-0.026123945355084877,0.018503830966682268,-0.028156020541126325,0.01301324570646866,-0.021242074689443044,0.011752736334381751,-0.8949193402539118
ABEV3,2023-04-27,Comunicado ao Mercado,Divulgação do consenso das estimativas dos analistas financeiros sell-side,0.011915080359584464,-0.007496265950229024,0.007496265950229024,-0.01700958011889917,0.008504790059449586,-0.017065407752044515,0.005688469250681505,0.0010858309240066692,0.015263335716010254,-1.009442579003214
ENGI11,2023-04-27,Comunicado ao Mercado,"Boletim de Relações com Investidores, base março 2023",0.01708140275129037,0.008269310789397227,0.008269310789397227,-0.007251926769581241,0.011895274174187847,-0.003130688761910071,0.009303928785348956,0.027626071827310635,0.018324916088548204,-0.3002028972738657
SUZB3,2023-04-27,Fato Relevante,Atualização de estimativas Projeto Cerrado,0.017739293760151813,-0.004933621003900697,0.004933621003900697,0.0432395316493918,0.0265533868285966,0.031096623776410662,0.021749893843391446,0.09523885062816756,0.025232848788193343,1.7235729030710647
PRIO3,2023-04-27,Comunicado ao Mercado,Retificação - Alteração de Participação Acionária Relevante,0.023398570314130132,-0.0015129204013410455,0.0015129204013410455,0.01702645561135504,0.010026148207018564,-0.00823836213950769,0.015105704721633285,-0.0027597011237425993,0.019442636050010436,0.5145409339428897
BBAS3,2023-04-27,Comunicado ao Mercado,Período de Silêncio 1T23,0.014673750581285635,-0.007022404625685015,0.007022404625685015,-0.02035465555905043,0.010177327779525215,-0.02225478553214017,0.007418261844046724,-0.027462938349559908,0.006316884312646791,-0.9808613615715407
BRKM5,2023-04-27,Comunicado ao Mercado,Notícia Divulgada na Mídia,0.022545722659101788,-0.0034009160529959483,0.0034009160529959483,0.02986215811604614,0.018331995111019017,0.019633033957304796,0.01563103812692646,0.22387899514468554,0.045028383969160785,0.9365738603280753
VALE3,2023-04-27,Comunicado ao Mercado,Vale assina acordo vinculante para venda da participação  na MRN,0.018574878717235913,0.015080088734103365,0.015080088734103365,0.013463479342735125,0.008348349062735802,0.01931014809097497,0.007514455624570482,-0.04859452157482688,0.017805398404212525,0.5125264981019308
VALE3,2023-04-27,Comunicado ao Mercado,Desempenho da Vale no 1T23 - Apresentação do Conference Call,0.018574878717235913,0.015080088734103365,0.015080088734103365,0.013463479342735125,0.008348349062735802,0.01931014809097497,0.007514455624570482,-0.04859452157482688,0.017805398404212525,0.5125264981019308
BRAV3,2023-04-27,Comunicado ao Mercado,Apresentação de Resultados - 1T23,0.034383919205381,0.10683275313273195,0.10683275313273195,0.12923111907223328,0.06461555953611664,0.1250937668014765,0.044456157114330035,0.12151422938646479,0.029095668899115024,2.6576435365169635
BBAS3,2023-04-28,Comunicado ao Mercado,Renúncia de Diretor,0.014641444474358467,-0.012892312632394926,0.012892312632394926,-0.015648436235596273,0.007824218117798137,-0.022337268162412886,0.007445756054137629,-0.03310029108780722,0.007358327673386577,-0.7557393258932703
COGN3,2023-04-28,Fato Relevante,Aprovação na AGE do Plano de Outorga de Opções de Compra de Ações,0.025839053770304977,0.003986798320069061,0.003986798320069061,0.0007989038389468808,0.003587346400595621,0.01684221522354744,0.007739334728597267,0.0270199973780615,0.017995387866161287,0.021862655152044188
ITUB4,2023-04-28,Comunicado ao Mercado,Itaú Unibanco Holding arquiva Formulário 20-F de 2022 na SEC e na CVM,0.014001269634613116,-0.00884637704294007,0.00884637704294007,-0.023510023625186425,0.011755011812593212,-0.011216242823964065,0.011934601475469596,-0.003842542886885348,0.007196250727247917,-1.1873278327651189
SANB11,2023-04-28,Comunicado ao Mercado,Fechamento de transação societária,0.0138507137351141,-0.003001851184513819,0.003001851184513819,0.0056304523019660765,0.005817077335496857,0.014525968486973477,0.006843223618667039,0.040569967653212066,0.0077622783370399516,0.2874459092872748
TIMS3,2023-04-28,Comunicado ao Mercado,Arquivamento do Formulário 20-F 2022,0.01376091623966481,-0.006017475611604402,0.006017475611604402,0.010877511888619134,0.011456231555913968,0.01608933212407681,0.00937476111576187,-0.013063126835630821,0.011625666637699946,0.5589426085386325
ITUB4,2023-04-28,Comunicado ao Mercado,Mudança na composição do comitê de auditoria estatutário,0.014001269634613116,-0.00884637704294007,0.00884637704294007,-0.023510023625186425,0.011755011812593212,-0.011216242823964065,0.011934601475469596,-0.003842542886885348,0.007196250727247917,-1.1873278327651189
IGTI11,2023-05-02,Comunicado ao Mercado,Apresentação Call de Resultados 1T23,0.01931905651605088,0.02773999579446743,0.02773999579446743,0.03576991244584339,0.017884956222921695,0.04377608528209197,0.01459202842736399,-0.015329290905969472,0.016451686009894214,1.3092330690109322
PETR4,2023-05-02,Comunicado ao Mercado,Petrobras sobre notícias veiculadas na mídia,0.020636888703252015,-0.012361296554671712,0.012361296554671712,-0.014373422751288667,0.0071867113756443335,-0.009147534250468409,0.006533103750702975,0.006501603566156353,0.00879749510241539,-0.4924940402811603
ENGI11,2023-05-02,Fato Relevante,Incorporação societária da EBO pela EPB,0.017942564799332556,0.03184772786432055,0.03184772786432055,0.04388914354762776,0.02194457177381388,0.027187509189805753,0.020196925968483256,0.030034399027182287,0.01682601753428813,1.7296474261111119
PRIO3,2023-05-02,Comunicado ao Mercado,Dados Operacionais Abril/2023,0.023292009081412143,-0.012874483492691643,0.012874483492691643,0.005540758559236164,0.015644862772309726,0.024190789272837736,0.016646585419407008,-0.027911171923984263,0.017525139619552644,0.16820824414326402
IGTI11,2023-05-02,Comunicado ao Mercado,Anúncio Casa Figueira,0.01931905651605088,0.02773999579446743,0.02773999579446743,0.03576991244584339,0.017884956222921695,0.04377608528209197,0.01459202842736399,-0.015329290905969472,0.016451686009894214,1.3092330690109322
VALE3,2023-05-02,Comunicado ao Mercado,Vale assina acordo vinculante para venda da participação  na MRN,0.018154801119550527,-0.03038132279549738,0.03038132279549738,-0.04021397741479413,0.020106988707397064,-0.041602837966068826,0.013867612655356276,-0.05328968991382536,0.01656575228798891,-1.5662840887781422
LIGT3,2023-05-02,Comunicado ao Mercado,Eleição dos Administradores,0.03928857049683065,0.13715881100616395,0.13715881100616395,0.24668159339266338,0.12334079669633169,0.39366711180119984,0.13122237060039996,0.21682961873905468,0.06238504521518403,4.439719370699067
BRKM5,2023-05-02,Fato Relevante,Relatório de Produção e Vendas 1T23,0.02297385286264844,-0.019355561475657833,0.019355561475657833,0.004925173782582382,0.021818148366949022,0.035826916133895687,0.024846013028403783,0.27421649791598834,0.052154603477884,0.15159075845951606
LIGT3,2023-05-02,Comunicado ao Mercado,Instalação do comitê de auditoria estatutário,0.03928857049683065,0.13715881100616395,0.13715881100616395,0.24668159339266338,0.12334079669633169,0.39366711180119984,0.13122237060039996,0.21682961873905468,0.06238504521518403,4.439719370699067
PETR4,2023-05-02,Comunicado ao Mercado,Petrobras sobre produção de Bahia Terra,0.020636888703252015,-0.012361296554671712,0.012361296554671712,-0.014373422751288667,0.0071867113756443335,-0.009147534250468409,0.006533103750702975,0.006501603566156353,0.00879749510241539,-0.4924940402811603
GOAU4,2023-05-03,Comunicado ao Mercado,Apresentação da teleconferência 1T23,0.018942957366454617,0.009152091682714745,0.009152091682714745,-0.028597137856793187,0.02345066061111134,-0.04825562402314831,0.022186602462859268,-0.038125765441475896,0.01755515668445993,-1.0674801040767807
KLBN11,2023-05-03,Comunicado ao Mercado,Live com Executivo,0.01586058655064181,0.0385986007662565,0.0385986007662565,0.0207795515335042,0.0282088249995044,0.028827847106970374,0.021488648524158327,0.0625253524480056,0.0163605751522517,0.9264072140359503
